ID	ALIGNMENT	COGID	COGIDS	CONCEPT	DOCULECT	FORM	TOKENS	VALUE	MORPHEMES	NOTE
958	d.w ɛ ¹¹	132	1577	grasshopper	Kayan	dwɛ¹¹	d.w ɛ ¹¹	dwɛ¹¹		
959	l au ³³	134	1588	great-grandchild	Kayan	lau³³	l au ³³	lau³³		
960	l a ³³	135	1599	great-great-gandchild	Kayan	la³³	l a ³³	la³³		
961	k a.ʔ ²¹ + l u ³³	136	8 1612	hair (head~)	Kayan	kaɁ²¹lu³³	k a.ʔ ²¹ + l u ³³	kaɁ²¹lu³³	/ka hair	
962	k.l ɔ ¹¹	138	1643	hat	Kayan	klɔ¹¹	k.l ɔ ¹¹	klɔ¹¹		
963	l i.ʔ ²¹	139	1664	hawk, eagle	Kayan	liɁ²¹	l i.ʔ ²¹	liɁ²¹		
964	ʔ au ¹¹	140	1652	have, be, exist, stay, there is	Kayan	Ɂau¹¹	ʔ au ¹¹	Ɂau¹¹	exist	
965	k.l ə.ʔ ⁴⁵	141	1676	head	Kayan	kləɁ⁴⁵	k.l ə.ʔ ⁴⁵	kləɁ⁴⁵	head	
966	θ a.ʔ ⁴⁵	142	1687	heart	Kayan	θaɁ⁴⁵	θ a.ʔ ⁴⁵	θaɁ⁴⁵		
967	tʰ əɨ ¹¹	143	1700	heavy	Kayan	thəɨ¹¹	tʰ əɨ ¹¹	thəɨ¹¹		
968	θ au ¹¹	144	1708	hemp	Kayan	θau¹¹	θ au ¹¹	θau¹¹	hemp	
969	k a.!Ø/ŋ ¹¹ + k ɨ ¹¹	145	1720 1721	hip	Kayan	ka¹¹kɨ¹¹	k a.!Ø/ŋ ¹¹ + k ɨ ¹¹	ka¹¹kɨ¹¹		
970	!d/t əu ¹¹	146	1732	hit hard (with a fist)	Kayan	dəu¹¹	!d/t əu ¹¹	dəu¹¹		
971	n !o/əu ³³	147	1742	horn	Kayan	no³³	n !o/əu ³³	no³³		
972	pʰ.r ɨ ⁵³	148	1755	hornet	Kayan	phrɨ⁵³	pʰ.r ɨ ⁵³	phrɨ⁵³		
973	θ i.ʔ ⁴⁵	149	1767	horse	Kayan	θiɁ⁴⁵	θ i.ʔ ⁴⁵	θiɁ⁴⁵		
974	j a ³³	150	1786	hundred	Kayan	ja³³	j a ³³	ja³³		
975	g.w a ³³	151	1803	husband	Kayan	gwa³³	g.w a ³³	gwa³³		
976	cʰ a ⁵³	152	1815	ill, painful, sick	Kayan	cha⁵³	cʰ a ⁵³	cha⁵³		
977	c a ¹¹	153	1829	insect	Kayan	ca¹¹	c a ¹¹	ca¹¹	insect	
978	p.r i.ʔ ²¹	154	1840	intestines	Kayan	priɁ²¹	p.r i.ʔ ²¹	priɁ²¹		
979	tʰ a.ʔ ⁴⁵	155	1853	iron	Kayan	thaɁ⁴⁵	tʰ a.ʔ ⁴⁵	thaɁ⁴⁵		
980	θ a.ʔ ⁴⁵	156	1866	itchy	Kayan	θaɁ⁴⁵	θ a.ʔ ⁴⁵	θaɁ⁴⁵		
981	l ai ¹¹	157	1878	kidney	Kayan	lai¹¹	l ai ¹¹	lai¹¹		
982	l a ¹¹	158	1894	leaf	Kayan	la¹¹	l a ¹¹	la¹¹		
983	θ !u/a.ʔ ⁴⁵	159	1907	leech (land~)	Kayan	θuɁ⁴⁵	θ !u/a.ʔ ⁴⁵	θuɁ⁴⁵		
984	c ai ¹¹	161	1934	left (side)	Kayan	cai¹¹	c ai ¹¹	cai¹¹		
985	!h/kʰ a.ŋ ¹¹	162	1947	leg	Kayan	haŋ¹¹	!h/kʰ a.ŋ ¹¹	haŋ¹¹		
986	l ai ¹¹	164	1971	lick (v.)	Kayan	lai¹¹	l ai ¹¹	lai¹¹		
987	m ai ⁵³	165	1981	lie down, sleep	Kayan	mai⁵³	m ai ⁵³	mai⁵³	sleep	
988	pʰ.w i ⁵³	166	1993	light (~weight)	Kayan	phwi⁵³	pʰ.w i ⁵³	phwi⁵³		
989	tʰ a ⁵³	167	2005	linear measure of about 8-9 inches (a span)	Kayan	tha⁵³	tʰ a ⁵³	tha⁵³		
990	p.l a ¹¹	168	46	linear measure of about half a yard (closed-hand)	Kayan	pla¹¹	p.l a ¹¹	pla¹¹	arrow	
991	t ɨ ³³	169	2025	linear measure of about half a yard (open-hand)	Kayan	tɨ³³	t ɨ ³³	tɨ³³		
992	kʰ.l a.ŋ ⁵³	170	2036	linear measure of about two yards	Kayan	khlaŋ⁵³	kʰ.l a.ŋ ⁵³	khlaŋ⁵³		
993	n a ¹¹	171	2046	listen to	Kayan	na¹¹	n a ¹¹	na¹¹	ear-listen	
994	ʔ au ¹¹	172	2059	live, stay	Kayan	Ɂau¹¹	ʔ au ¹¹	Ɂau¹¹	live-exist	
995	θ ɨ ¹¹	173	2072	liver	Kayan	θɨ¹¹	θ ɨ ¹¹	θɨ¹¹	liver	
996	ŋ i.!Ø/ʔ ³³	174	2098	long (of time)	Kayan	ŋi³³	ŋ i.!Ø/ʔ ³³	ŋi³³		
997	tʰ au ⁵³	175	2086	long (of length), tall, high	Kayan	thau⁵³	tʰ au ⁵³	thau⁵³		
998	!p/b əɨ ¹¹	176	2111	look after (things)	Kayan	pəɨ¹¹	!p/b əɨ ¹¹	pəɨ¹¹		
999	cʰ ə.ŋ ⁵³	177	2120	loris	Kayan	chəŋ⁵³	cʰ ə.ŋ ⁵³	chəŋ⁵³		
1000	ɕ !ɨ/a.!Ø/ŋ ⁵³ + c a ¹¹	178	579 1829	louse (chicken~), insect	Kayan	ɕɨ⁵³ca¹¹	ɕ !ɨ/a.!Ø/ŋ ⁵³ + c a ¹¹	ɕɨ⁵³ca¹¹	chicken insect	
1001	θ ɨ ¹¹	179	2153	louse (head~)	Kayan	θɨ¹¹	θ ɨ ¹¹	θɨ¹¹	louse	
1002	θ au ¹¹	180	2166	lung	Kayan	θau¹¹	θ au ¹¹	θau¹¹	lung	
1003	l !o/əu ¹¹	181	2180	maggot	Kayan	lo¹¹	l !o/əu ¹¹	lo¹¹		
1004	pʰ a ⁵³	182	2193	male (of animals), father	Kayan	pha⁵³	pʰ a ⁵³	pha⁵³		
1005	kʰ.!Ø/w au ⁵³	183	2205	man, male	Kayan	khau⁵³	kʰ.!Ø/w au ⁵³	khau⁵³		
1006	kʰ au.ʔ ⁴⁵	184	2219	mango	Kayan	khauɁ⁴⁵	kʰ au.ʔ ⁴⁵	khauɁ⁴⁵		
1007	ʔ a ⁵³	185	2230	many, much	Kayan	Ɂa⁵³	ʔ a ⁵³	Ɂa⁵³		
1008	θ a.ʔ ²¹ + k ə ¹¹ + w i ³³	187	2253 2254 2255	milipede	Kayan	θaɁ²¹kə¹¹wi³³	θ a.ʔ ²¹ + k ə ¹¹ + w i ³³	θaɁ²¹kə¹¹wi³³		
1009	r.w a.ŋ ⁵³	189	2294	money	Kayan	rwaŋ⁵³	r.w a.ŋ ⁵³	rwaŋ⁵³		
1010	r e ³³ + kʰ ɔ.ʔ ⁴⁵	190	2303 2302	monitor lizard (land~)	Kayan	re³³khɔɁ⁴⁵	r e ³³ + kʰ ɔ.ʔ ⁴⁵	re³³khɔɁ⁴⁵		
1011	j ɔ.ʔ ²¹	192	2320	monkey	Kayan	jɔɁ²¹	j ɔ.ʔ ²¹	jɔɁ²¹		
1012	l a ⁵³	193	2328	moon, month	Kayan	la⁵³	l a ⁵³	la⁵³		
1013	m əɨ ¹¹	194	2341	mother, female (of animals)	Kayan	məɨ¹¹	m əɨ ¹¹	məɨ¹¹		
1014	ɟ u ¹¹	195	2349	mouse, rat	Kayan	Ɉu¹¹	ɟ u ¹¹	Ɉu¹¹	muroid	
1015	r a.ŋ ¹¹	196	2362	mynah	Kayan	raŋ¹¹	r a.ŋ ¹¹	raŋ¹¹		
1016	m ɨ ¹¹	197	2372	nail	Kayan	mɨ¹¹	m ɨ ¹¹	mɨ¹¹	nail	
1017	m.j ə.ŋ ³³	198	2388	name	Kayan	mjəŋ³³	m.j ə.ŋ ³³	mjəŋ³³		
1018	ʔ.j a.ŋ ¹¹	199	2401	narrow	Kayan	Ɂjaŋ¹¹	ʔ.j a.ŋ ¹¹	Ɂjaŋ¹¹		
1019	d ai ⁵³	200	2413	navel, umbilical cord	Kayan	dai⁵³	d ai ⁵³	dai⁵³	navel	
1020	k a.ʔ ²¹ + b ɔ ⁵³	201	2428 2429	neck, cheek	Kayan	kaɁ²¹bɔ⁵³	k a.ʔ ²¹ + b ɔ ⁵³	kaɁ²¹bɔ⁵³	/kho neck	
1021	θ !ɨ/a.!Ø/ŋ ⁵³	202	2442	new	Kayan	θɨ⁵³	θ !ɨ/a.!Ø/ŋ ⁵³	θɨ⁵³		!borrowing
1022	kʰ.w i ⁵³	203	2454	nine	Kayan	khwi⁵³	kʰ.w i ⁵³	khwi⁵³		
1023	n ai ¹¹	204	2468	obtain, receive, take, get	Kayan	nai¹¹	n ai ¹¹	nai¹¹		
1024	p.r a ¹¹	205	2480	old (of humans)	Kayan	pra¹¹	p.r a ¹¹	pra¹¹		
1025	l a ¹¹	207	2506	one	Kayan	la¹¹_~_laɁ²¹	l a ¹¹	la¹¹ ~ laɁ²¹		
1026	ʔ a.ŋ ⁵³	208	2520	open (the mouth)	Kayan	Ɂaŋ⁵³	ʔ a.ŋ ⁵³	Ɂaŋ⁵³		
1027	p au ¹¹	209	2531	ox, bull, cow	Kayan	pau¹¹	p au ¹¹	pau¹¹		
1028	ɟ au ³³	211	2548	pangolin, anteater	Kayan	Ɉau³³	ɟ au ³³	Ɉau³³		
1029	!kʰ/k i ¹¹	212	2559	parrot, parakeet	Kayan	khi¹¹	!kʰ/k i ¹¹	khi¹¹		
1030	!kʰ/k.l ɛ ³³	213	2570	path, trail, way	Kayan	khlɛ³³	!kʰ/k.l ɛ ³³	khlɛ³³		
1031	p.r a.ʔ ²¹	214	2579	peacock	Kayan	praɁ²¹	p.r a.ʔ ²¹	praɁ²¹		
1032	p ɔ ³³	215	2590	pen, coop	Kayan	pɔ³³	p ɔ ³³	pɔ³³		
1033	tʰ ai ¹¹	216	2604	penis	Kayan	thai¹¹	tʰ ai ¹¹	thai¹¹		
1034	tʰ au.ʔ ⁴⁵	218	315	pig	Kayan	thauɁ⁴⁵	tʰ au.ʔ ⁴⁵	thauɁ⁴⁵	pig	
1035	b.l o ¹¹	219	2637	pile	Kayan	blo¹¹	b.l o ¹¹	blo¹¹		
1036	c u ⁵³	220	2649	pointed (as of needles), sharp point	Kayan	cu⁵³	c u ⁵³	cu⁵³		
1037	tʰ.w a.ŋ ¹¹	221	2662	pole	Kayan	thwaŋ¹¹	tʰ.w a.ŋ ¹¹	thwaŋ¹¹		
1038	θ.w a.ŋ ¹¹	222	2673	porcupine	Kayan	θwaŋ¹¹	θ.w a.ŋ ¹¹	θwaŋ¹¹		
1039	p ə ³³	224	2693	pot	Kayan	pə³³	p ə ³³	pə³³		
1040	t ɔ ¹¹	225	2708	pound (v.)	Kayan	tɔ¹¹	t ɔ ¹¹	tɔ¹¹		
1041	l.w a.ŋ ¹¹	227	2725	pumpkin (ash~)	Kayan	lwaŋ¹¹	l.w a.ŋ ¹¹	lwaŋ¹¹		
1042	θ au.ʔ ⁴⁵	229	2755	put on, wear	Kayan	θauɁ⁴⁵	θ au.ʔ ⁴⁵	θauɁ⁴⁵		
1043	l i.ʔ ²¹	230	2744	put on (a necklace), wear	Kayan	liɁ²¹	l i.ʔ ²¹	liɁ²¹		
1044	l.j a.ŋ ¹¹	231	2768	put out (the tongue)	Kayan	ljaŋ¹¹	l.j a.ŋ ¹¹	ljaŋ¹¹		
1045	r.w i.ʔ ⁴⁵	232	2778	quail	Kayan	rwiɁ⁴⁵	r.w i.ʔ ⁴⁵	rwiɁ⁴⁵		
1046	d ɛ ⁵³	233	2791	rabbit, hare	Kayan	dɛ⁵³	d ɛ ⁵³	dɛ⁵³		
1047	b əɨ ¹¹	234	2804	raise, feed (animals)	Kayan	bəɨ¹¹	b əɨ ¹¹	bəɨ¹¹		
1048	r ai ¹¹	235	2813	rattan	Kayan	rai¹¹	r ai ¹¹	rai¹¹		
1049	b ɔ.ʔ ⁴⁵	236	2825	reach into	Kayan	bɔɁ⁴⁵	b ɔ.ʔ ⁴⁵	bɔɁ⁴⁵		
1050	tʰ ɔ.ʔ ⁴⁵	237	2836	resin	Kayan	thɔɁ⁴⁵	tʰ ɔ.ʔ ⁴⁵	thɔɁ⁴⁵		
1051	tʰ.w ɛ ⁵³	238	2846	right (side)	Kayan	thwɛ⁵³	tʰ.w ɛ ⁵³	thwɛ⁵³		
1052	m.j ə.ŋ ⁵³	239	2858	ripe, cooked	Kayan	mjəŋ⁵³	m.j ə.ŋ ⁵³	mjəŋ⁵³		
1053	t e ³³	240	2871	roast (by stuffing into fresh bamboo sections)	Kayan	te³³	t e ³³	te³³		
1054	r.w i ¹¹	241	2881	root	Kayan	rwi¹¹	r.w i ¹¹	rwi¹¹		
1055	θ ə ⁵³	242	2893	rotten, bad smell	Kayan	θə⁵³	θ ə ⁵³	θə⁵³		
1056	θ a ¹¹	244	2910	salt	Kayan	θa¹¹	θ a ¹¹	θa¹¹		
1057	cʰ ɨ ⁵³	245	2922	salty, sweet	Kayan	chɨ⁵³	cʰ ɨ ⁵³	chɨ⁵³		
1058	m ɛ.ʔ ⁴⁵	246	2934	sand	Kayan	mɛɁ⁴⁵	m ɛ.ʔ ⁴⁵	mɛɁ⁴⁵		
1059	b e ¹¹	247	2942	scale (of fish)	Kayan	be¹¹	b e ¹¹	be¹¹		
1060	cʰ a ⁵³	248	2953	sell	Kayan	cha⁵³	cʰ a ⁵³	cha⁵³		
1061	j ai ³³	249	2966	serow, mountain goat	Kayan	jai³³	j ai ³³	jai³³		
1062	n.w ɛ ⁵³	250	2973	seven	Kayan	nwɛ⁵³	n.w ɛ ⁵³	nwɛ⁵³		
1063	cʰ a.ʔ ⁴⁵	251	2986	sew	Kayan	chaɁ⁴⁵	cʰ a.ʔ ⁴⁵	chaɁ⁴⁵		
1064	θ !ɔ/au ³³	253	3006	sheep	Kayan	θɔ³³	θ !ɔ/au ³³	θɔ³³		
1065	k a.ʔ ²¹ + n au.ʔ ⁴⁵	254	3018 3017	shivering	Kayan	kaɁ²¹nauɁ⁴⁵	k a.ʔ ²¹ + n au.ʔ ⁴⁵	kaɁ²¹nauɁ⁴⁵	_:prefix/k shiver	
1066	kʰ a.ʔ ⁴⁵	255	3034	shoot (v.)	Kayan	khaɁ⁴⁵	kʰ a.ʔ ⁴⁵	khaɁ⁴⁵		
1067	pʰ əɨ ¹¹	256	3047	short, low	Kayan	phəɨ¹¹	pʰ əɨ ¹¹	phəɨ¹¹		
1068	b.l e ⁵³	257	3059	shoulder	Kayan	ble⁵³	b.l e ⁵³	ble⁵³		
1069	cʰ u ⁵³	259	3077	six	Kayan	chu⁵³	cʰ u ⁵³	chu⁵³		
1070	p.l ɛ.ʔ ²¹	260	3088	skink	Kayan	plɛɁ²¹	p.l ɛ.ʔ ²¹	plɛɁ²¹		
1071	m ai ⁵³ + n ai ¹¹	261	1981 3103	sleeping	Kayan	mai⁵³nai¹¹	m ai ⁵³ + n ai ¹¹	mai⁵³nai¹¹	sleep lie-down	
1072	b.l ai ⁵³	262	3113	slippery	Kayan	blai⁵³	b.l ai ⁵³	blai⁵³		
1073	n ɨ ³³	263	3125	smell (v.)	Kayan	nɨ³³	n ɨ ³³	nɨ³³		
1074	ŋ.w i ¹¹	265	3144	snail (water~)	Kayan	ŋwi¹¹	ŋ.w i ¹¹	ŋwi¹¹		
1075	r !əu/u ¹¹	266	3154	snake	Kayan	rəu¹¹	r !əu/u ¹¹	rəu¹¹		
1076	m a.ʔ ²¹	267	3167	son-in-law	Kayan	maɁ²¹	m a.ʔ ²¹	maɁ²¹		
1077	ɕ !i/a.!Ø/ŋ ¹¹	268	3179	sour	Kayan	ɕi¹¹	ɕ !i/a.!Ø/ŋ ¹¹	ɕi¹¹		
1078	k a.ŋ ³³	269	3192	spider	Kayan	kaŋ³³	k a.ŋ ³³	kaŋ³³		
1079	tʰ u ⁵³	270	3205	spit (v.)	Kayan	thu⁵³	tʰ u ⁵³	thu⁵³		
1080	pʰ.r u ⁵³	273	3236	spray (v.)	Kayan	phru⁵³	pʰ.r u ⁵³	phru⁵³		
1081	d a ⁵³	274	3246	spread out (a mat)	Kayan	da⁵³	d a ⁵³	da⁵³		
1082	c i ¹¹	275	3259	squeeze, massage	Kayan	ci¹¹	c i ¹¹	ci¹¹		
1083	tʰ ə ¹¹	277	3282	stand (v.)	Kayan	thə¹¹	tʰ ə ¹¹	thə¹¹		
1084	cʰ a ¹¹	278	3295	star	Kayan	cha¹¹	cʰ a ¹¹	cha¹¹		
1085	h u ¹¹	279	3308	steal (v.)	Kayan	hu¹¹	h u ¹¹	hu¹¹		
1086	c i ¹¹	280	3317	stingy	Kayan	ci¹¹	c i ¹¹	ci¹¹		
1087	pʰ u ⁵³	281	3324	stomach	Kayan	phu⁵³	pʰ u ⁵³	phu⁵³		
1088	l əu ¹¹	282	3338	stone, rock	Kayan	ləu¹¹	l əu ¹¹	ləu¹¹		
1089	p.Ø/l ɨ ³³	283	3351	string, rope	Kayan	pɨ³³	p.Ø/l ɨ ³³	pɨ³³		
1090	c.w i.ʔ ⁴⁵	284	3364	suck	Kayan	cwiɁ⁴⁵	c.w i.ʔ ⁴⁵	cwiɁ⁴⁵		
1091	m ɨ ¹¹	285	3375	sun	Kayan	mɨ¹¹	m ɨ ¹¹	mɨ¹¹	sun	
1092	k au ¹¹	286	3388	sunlight, hot	Kayan	kau¹¹	k au ¹¹	kau¹¹		
1093	ɟ au.ʔ ⁴⁵	288	3410	swollen, swelling	Kayan	ɈauɁ⁴⁵	ɟ au.ʔ ⁴⁵	ɈauɁ⁴⁵		
1094	m ai ¹¹	289	3423	tail	Kayan	mai¹¹	m ai ¹¹	mai¹¹	tail	
1095	b.l a ⁵³	290	3436	tasteless, faded	Kayan	bla⁵³	b.l a ⁵³	bla⁵³		
1096	tʰ ɨ ⁵³	291	3445	ten	Kayan	thɨ⁵³	tʰ ɨ ⁵³	thɨ⁵³		
1097	tʰ.!Ø/w !u/a.!Ø/ŋ ¹¹	292	3458	tendon	Kayan	thu¹¹	tʰ.!Ø/w !u/a.!Ø/ŋ ¹¹	thu¹¹		
1098	!b/p a.ʔ ²¹ + ʔ u ⁵³	293	3466 3468	termite	Kayan	baɁ²¹Ɂu⁵³	!b/p a.ʔ ²¹ + ʔ u ⁵³	baɁ²¹Ɂu⁵³		
1099	p i ¹¹	294	3485	termite (winged~)	Kayan	pi¹¹	p i ¹¹	pi¹¹		
1100	b.l əu ¹¹	295	3500	termite mound	Kayan	bləu¹¹	b.l əu ¹¹	bləu¹¹		
1101	d ɨ ⁵³	296	3511	thick	Kayan	dɨ⁵³	d ɨ ⁵³	dɨ⁵³		
1102	b ɨ ⁵³	297	3518	thin (as of cloth)	Kayan	bɨ⁵³	b ɨ ⁵³	bɨ⁵³		
1103	r e ⁵³	298	3528	thousand	Kayan	re⁵³	r e ⁵³	re⁵³		
1104	t u ¹¹	299	3545	thread (a needle)	Kayan	tu¹¹	t u ¹¹	tu¹¹		
1105	θ ə ⁵³	300	3557	three	Kayan	θə⁵³	θ ə ⁵³	θə⁵³		
1106	kʰ ɨ ¹¹	301	3570	tick	Kayan	khɨ¹¹	kʰ ɨ ¹¹	khɨ¹¹		
1107	c ə ⁵³	302	3581	tie (a string)	Kayan	cə⁵³	c ə ⁵³	cə⁵³		
1108	kʰ ai ⁵³	303	3594	tiger	Kayan	khai⁵³	kʰ ai ⁵³	khai⁵³		
1109	kʰ i ⁵³	304	3607	tilted	Kayan	khi⁵³	kʰ i ⁵³	khi⁵³		
1110	d ai ¹¹ + θ u ¹¹	305	1498 3618	toad	Kayan	dai¹¹θu¹¹	d ai ¹¹ + θ u ¹¹	dai¹¹θu¹¹	frog toad	
1111	p.l ai ³³	307	3654	tongue	Kayan	plai³³	p.l ai ³³	plai³³		
1112	t u.ʔ ²¹	308	3667	torn	Kayan	tuɁ²¹	t u.ʔ ²¹	tuɁ²¹		
1113	kʰ.l ɨ.ʔ ⁴⁵	309	3680	tortoise	Kayan	khlɨɁ⁴⁵	kʰ.l ɨ.ʔ ⁴⁵	khlɨɁ⁴⁵		
1114	ɟ a.ŋ ¹¹	310	3693	tread	Kayan	Ɉaŋ¹¹	ɟ a.ŋ ¹¹	Ɉaŋ¹¹	tread	
1115	m ə ¹¹	311	3704	trunk (of a tree), firewood	Kayan	mə¹¹	m ə ¹¹	mə¹¹	firewood	
1116	m ɔ ³³	312	3713	trunk (of an elephant)	Kayan	mɔ³³	m ɔ ³³	mɔ³³		
1117	ŋ ɨ ⁵³	313	3726	two	Kayan	ŋɨ⁵³	ŋ ɨ ⁵³	ŋɨ⁵³		
1118	pʰ.r au.ʔ ⁴⁵	316	3763	vomit (v.)	Kayan	phrauɁ⁴⁵	pʰ.r au.ʔ ⁴⁵	phrauɁ⁴⁵		
1119	l a.!Ø/ŋ ³³	320	3818	warm	Kayan	la³³	l a.!Ø/ŋ ³³	la³³		
1120	p.l a ¹¹	321	3850	wash (the face)	Kayan	pla¹¹	p.l a ¹¹	pla¹¹	wash	
1121	cʰ u ¹¹	322	3839	wash (clothes)	Kayan	chu¹¹	cʰ u ¹¹	chu¹¹		
1122	d au.ʔ ⁴⁵ + d ai ⁵³	323	3863 2413	wasp	Kayan	dauɁ⁴⁵dai⁵³	d au.ʔ ⁴⁵ + d ai ⁵³	dauɁ⁴⁵dai⁵³	wasp navel	
1123	tʰ ɨ ⁵³	324	3878	water	Kayan	thɨ⁵³	tʰ ɨ ⁵³	thɨ⁵³		
1124	ɕ i ⁵³	325	3891	wear (a shoulder bag)	Kayan	ɕi⁵³	ɕ i ⁵³	ɕi⁵³		
1125	tʰ a ¹¹	326	3916	weave (cloth), loom	Kayan	tha¹¹	tʰ a ¹¹	tha¹¹		
1126	tʰ i ⁵³	327	3903	weave (baskets)	Kayan	thi⁵³	tʰ i ⁵³	thi⁵³		
1127	r !o/əu ¹¹	328	3927	weevil	Kayan	ro¹¹	r !o/əu ¹¹	ro¹¹		
1128	c au ¹¹	329	3938	wet	Kayan	cau¹¹	c au ¹¹	cau¹¹		
1129	b au ⁵³	330	3951	white	Kayan	bau⁵³	b au ⁵³	bau⁵³		
1130	l ɛ ¹¹	331	3963	wide	Kayan	lɛ¹¹	l ɛ ¹¹	lɛ¹¹		
1131	m a ⁵³	332	3977	wife	Kayan	ma⁵³	m a ⁵³	ma⁵³		
1132	m i ³³	333	316	wild	Kayan	mi³³	m i ³³	mi³³	wild	
1133	n ɨ ³³	334	4002	win	Kayan	nɨ³³	n ɨ ³³	nɨ³³		
1134	n.w ɛ ¹¹	337	4039	yam, potato	Kayan	nwɛ¹¹	n.w ɛ ¹¹	nwɛ¹¹		
1135	n e ¹¹	338	4051	year	Kayan	ne¹¹	n e ¹¹	ne¹¹		
1136	b a.ŋ ⁵³	339	4064	yellow	Kayan	baŋ⁵³	b a.ŋ ⁵³	baŋ⁵³		
1137	m.w ɛ ¹¹	340	4074	yes	Kayan	mwɛ¹¹	m.w ɛ ¹¹	mwɛ¹¹		
1138	c a ¹¹	341	4085	young, soft, tender	Kayan	ca¹¹	c a ¹¹	ca¹¹	young	
1139	l ə ³³	1	10	all, all gone, whole	Kayaw	lə³³	l ə ³³	lə³³		
1140	t ə ¹¹	2	21	ant	Kayaw	tə¹¹	t ə ¹¹	tə¹¹		
1141	t ə ¹¹	3	33	arrive	Kayaw	tə¹¹	t ə ¹¹	tə¹¹		
1142	p.l !e/a ¹¹	4	46	arrow, dart	Kayaw	ple¹¹	p.l !e/a ¹¹	ple¹¹	arrow	
1143	h ɔ ¹¹	5	60	ascend, go up, rise	Kayaw	hɔ¹¹	h ɔ ¹¹	hɔ¹¹		
1144	pʰ a ¹¹	6	72	ashes, fireplace	Kayaw	pha¹¹	pʰ a ¹¹	pha¹¹		
1145	kʰ ɔ ⁵⁵	9	103	bamboo rat	Kayaw	khɔ⁵⁵	kʰ ɔ ⁵⁵	(ju¹¹)khɔ⁵⁵	bamboo-rat	
1146	s a ⁵⁵	10	126	bamboo strip	Kayaw	sa⁵⁵	s a ⁵⁵	sa⁵⁵		
1147	b ɔ ¹¹	11	114	bamboo shoot	Kayaw	bɔ¹¹	b ɔ ¹¹	bɔ¹¹		
1148	pʰ e ³³	12	138	bark (n.), leather, skin	Kayaw	phe³³	pʰ e ³³	phe³³		
1149	p.l a ¹¹	13	149	bat	Kayaw	pla¹¹	p.l a ¹¹	pla¹¹		
1150	l u ¹¹	14	161	bathe	Kayaw	lu¹¹	l u ¹¹	lu¹¹		
1151	tʰ ɔ ⁵⁵	15	171	bear (animal)	Kayaw	thɔ⁵⁵	tʰ ɔ ⁵⁵	thɔ⁵⁵		
1152	c ɔ ³³	16	183	bedbug	Kayaw	cɔ³³	c ɔ ³³	cɔ³³		
1153	h.w ɛ ³³	17	191	bee (Apis cerana)	Kayaw	hwɛ³³	h.w ɛ ³³	hwɛ³³~khwɛ³³		
1154	n i ⁵⁵	18	203	bee (Apis dorsata)	Kayaw	ni⁵⁵	n i ⁵⁵	ni⁵⁵		
1155	j ɨ ¹¹	19	217	believe	Kayaw	jɨ¹¹	j ɨ ¹¹	jɨ¹¹		
1156	l ɔ ³³	20	224	below, under, underneath	Kayaw	lɔ³³	l ɔ ³³	lɔ³³		
1157	d u ¹¹	21	242	big, large	Kayaw	du¹¹	d u ¹¹	du¹¹		
1158	tʰ u ¹¹	22	253	bird	Kayaw	thu¹¹	tʰ u ¹¹	thu¹¹		
1159	kʰ a ¹¹	24	275	bitter	Kayaw	kha¹¹	kʰ a ¹¹	kha¹¹		
1160	s u ¹¹	25	11	blood	Kayaw	su¹¹	s u ¹¹	su¹¹		
1161	ʔ u ⁵⁵	26	302	blow (a fire)	Kayaw	Ɂu⁵⁵	ʔ u ⁵⁵	Ɂu⁵⁵		
1162	tʰ o ³³ + m i ³³	27	315 316	boar (wild~)	Kayaw	tho³³mi³³	tʰ o ³³ + m i ³³	tho³³mi³³	pig wild	
1163	!k/kʰ.l i ⁵⁵	28	336	boat	Kayaw	kli⁵⁵	!k/kʰ.l i ⁵⁵	kli⁵⁵	boat	
1164	c i ¹¹	29	348	body dirt	Kayaw	ci¹¹	c i ¹¹	ci¹¹		
1165	pʰ o ⁵⁵	30	359	boil (v.)	Kayaw	pho⁵⁵	pʰ o ⁵⁵	pho⁵⁵		
1166	cʰ u ³³	31	371	bone	Kayaw	chu³³	cʰ u ³³	chu³³		
1167	s i ¹¹	32	383	braid	Kayaw	si¹¹	s i ¹¹	si¹¹		
1168	!k/kʰ !ə/u ³³ + n ə ³³	33	17 394	brain	Kayaw	nə³³	!k/kʰ !ə/u ³³ + n ə ³³	(kə³³)nə³³		
1169	pʰ i ⁵⁵	34	408	bran,chaff	Kayaw	phi⁵⁵	pʰ i ⁵⁵	phi⁵⁵		
1170	n u ¹¹	35	420	breasts	Kayaw	nu¹¹	n u ¹¹	nu¹¹		
1171	pʰ ɔ ³³	36	431	broken, split, separate	Kayaw	phɔ³³	pʰ ɔ ³³	phɔ³³		
1172	p a ³³ + n a ¹¹	37	444 445	buffalo	Kayaw	pa³³na¹¹	p a ³³ + n a ¹¹	pa³³na¹¹		
1173	p.r i ³³	38	469	buy	Kayaw	pri³³	p.r i ³³	pri³³		
1174	pʰ u ⁵⁵	39	495	caress	Kayaw	phu⁵⁵	pʰ u ⁵⁵	phu⁵⁵		
1175	pʰ ɨ ¹¹	40	506	carry (on the back)	Kayaw	phɨ¹¹	pʰ ɨ ¹¹	phɨ¹¹		
1176	s i ³³	41	514	caterpillar	Kayaw	si³³	s i ³³	si³³		
